"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           0","        1700","16473.682987","21297.893542","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558"
"           1","        1800","       28502","29149.344452","HomeImp","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093"
"           0","        2300","      102370","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178"
"           1","        2400","       34863","       47471","HomeImp","Mgr","          12","           0","           0","70.491080032","           1","          21","38.263600731"
"           0","1995.3583168","43146.057525","      117195","HomeImp","Office","3.8431846219","           0","           0","93.811774855","           0","          13","29.681827045"
"           0","2218.0873421","      103949","      112505","HomeImp","Office","0.4774160769","           0","           0"," 96.10232967","           0","          13","30.051136286"
"           0","        2900","97134.775168","      120702","HomeImp","Office","1.5734184094","           0","           0","101.54029753","           0","          13","29.915859028"
"           1","        2900","        7750","       67996","HomeImp","Other","7.7118100485","           3","           0","122.20466276","           2","           8","36.211347998"
"           1","        2900","54985.594831","54709.686088","DebtCon","Mgr","1.1143074199","           0","           0","282.80165924","           3","          37"," 49.20639579"
"           0","        3000","      104570","54856.001359","HomeImp","Office","0.6089515829","           0","           0","85.884371895","           0","          14","32.059783267"
"           0","        3200","       74864","       87266","HomeImp","ProfExe","3.8037100904","           0","           0","250.63126922","           0","          12","42.909997351"
"           0","        3300","      130518"," 108927.8097","DebtCon","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919"
"           0"," 2330.681497","86847.230458","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382"
"           0","        3600","       52337","       63989","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508"
"           1","        3700","       17857","       21144","HomeImp","Other","2.4048077815","           0","           0","129.71732313","           1","           9","26.634347518"
"           0","3467.1968083","       51180","       63459","HomeImp","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051"
"           1","2553.6985829","       29896","       45960","HomeImp","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191"
"           0","1321.5907218","99660.574012","99825.598305","HomeImp","Office","1.1997434558","           0","           0","85.277365579","           0","          13","29.343921089"
"           1","        4000"," 95073.27091","36726.533897","HomeImp","Office","0.5027310748","           0","           0","94.724874167","           0","          13","29.390928055"
"           0"," 1864.076835","       54543","       61777","HomeImp","Office","20.103348432","           0","           0","205.58668003","           0","          19","21.806563464"
"           1"," 3509.003015","       26572","21287.267035","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948"
"           0","        4100","14004.937871","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437"
"           0","1363.3918517","37394.690023"," 30823.63894","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425"
"           0"," 3992.429927","57190.154185","       82953","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911"
"           0","        4200","       50216","       58541","HomeImp","Office"," 11.14989333","           0","           0","209.87130224","           0","          19"," 20.20803267"
"           0","3909.9592856","       71206","30445.662205","DebtCon","Sales","           3","           0","           0","129.93286902","           0","          31","34.181376516"
"           0","        4300","39171.796395","       79852","HomeImp","Other","0.9130310402","           0","           0","105.12070881","           0","          14","41.806376152"
"           0","        4300","       72021","66635.528946","HomeImp","Other","           2","           2","           0","263.97030029","           0","           5","36.432093937"
"           0","1925.4322614","       53969","4541.2845333","DebtCon","ProfExe","1.8070924779","           0","           3","162.39001067","           0","          30","23.581079239"
"           1","        4400","       53091","       64074","DebtCon","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834"
"           0","        4500","       66127","       79087","HomeImp","Other","2.7674128109","           1","           0","81.349065098","           0","          15"," 40.70530876"
"           0","        4500","71067.537955","       79247","HomeImp","Other","           4","           0","           0","118.76041007","           0","          14","41.421110521"
"           0","        4700","46574.904828","       88566","HomeImp","Other","           2","           2","           0","283.95953809","           0","           5","36.475473283"
"           0","3937.0318488","       88026","      115506","HomeImp","ProfExe","           6","           0","           0","182.24833156","           0","          27"," 29.20902258"
"           0","        4800","       56067","       63102","DebtCon","ProfExe","           9","           0","           3","160.14631128","           1","          30","21.583760121"
"           0","945.74713602","15750.581807","       88342","HomeImp","ProfExe","3.0553611988","           0","           0","275.03239483","           0","          11","43.717635112"
"           0","581.54796026","       58688","27290.115357","DebtCon","ProfExe","           9","           0","           3","179.16257471","           2","          31","22.544392837"
"           1","        4900","21748.882265","6215.4184952","HomeImp","Other","2.1773529505","           0","           0","101.74676644","           0","           8","33.243156978"
"           0","        4900","       67794","51289.117222","HomeImp","Other","           4","           0","           0","112.57341888","           0","          15","41.673996362"
"           1","840.69644699","       65576","       65774","HomeImp","Other","           6","           1","           2"," 61.64250608","           1","          14","40.590910018"
"           0","        4900","       57461","       68494","DebtCon","ProfExe","           8","           0","           4","183.63561323","           0","          30","22.795423552"
"           0","        5000","25714.474386","       87168","HomeImp","Other","3.3480031841","           0","           0","122.59722258","           0","          15","40.616779346"
"           0","1331.3209132","       90059","88372.036725","HomeImp","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482"
"           0","        5000","13230.134025","       97275","DebtCon","Other","           1","           0","           0","120.67506316","           2","          10","37.512708409"
