"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           1","988.83395106","       30548","5882.7308813","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558"
"           1","        1800","       28502","       43034","HomeImp","Other","8.5675779439","           0","           0","88.766029879","           0","           8","36.884894093"
"           0","1056.8095424","  66507.6733","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178"
"           1","1262.5967285","30757.794562","       47471","HomeImp","Mgr","11.940308388","           0","           0","70.491080032","           1","          21","38.263600731"
"           0","1926.6316102","29007.394105","68817.827132","HomeImp","Office","           4","           0","           0","93.811774855","           0","          13","29.681827045"
"           0","2263.2771729","      103949","      112505","HomeImp","Office","0.4304454697","           0","           0"," 96.10232967","           0","          13","30.051136286"
"           0","2350.1307236","      104373","      120702","HomeImp","Office","1.5783937581","           0","           0","101.54029753","           0","          13","29.915859028"
"           1"," 2828.595929","        7750","48340.223078","HomeImp","Other","          16","           3","           0","122.20466276","           2","           8","36.211347998"
"           1","        2900","27716.638656","       70915","DebtCon","Mgr","1.3813926184","           0","           0","282.80165924","           3","          37"," 49.20639579"
"           1","62.060794356","      104570","      121729","HomeImp","Office","           2","           0","           0","85.884371895","           0","          14","32.059783267"
"           0","        3200","15289.285973","       87266","HomeImp","ProfExe","2.8916487698","           0","           0","250.63126922","           0","          12","42.909997351"
"           1","        3300","      130518","80948.823428","DebtCon","Other","7.3777384639","           0","           6","192.28914897","           0","          33"," 35.73055919"
"           1","2663.5693717","4444.8970713","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382"
"           0","        3600","31395.486624","1803.9503561","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508"
"           1","1956.6603969","       17857","17507.102657","HomeImp","Other","4.5202384328","           0","           0","129.71732313","           1","           9","26.634347518"
"           0","3637.7487639","20542.494908","1798.9852164","HomeImp","Office","12.988073552","           0","           0","203.75153358","           0","          20","20.067042051"
"           1","        3900","1318.1094056","       45960","HomeImp","Other","1.2966607284","           0","           0","146.12324219","           0","          14","24.478881191"
"           0","        3900","      102143","      118742","HomeImp","Office","1.3413900581","           0","           0","85.277365579","           0","          13","29.343921089"
"           0","3746.1362629","46430.990402","33609.023249","HomeImp","Office","           1","           0","           0","94.724874167","           0","          13","29.390928055"
"           0","3755.0266719","       54543","       61777","HomeImp","Office","11.575208046","           0","           0","205.58668003","           0","          19","21.806563464"
"           1","        4000","       26572","524.18555485","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948"
"           0","        4100","       57992","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437"
"           0","        4200","       56544","       59218","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425"
"           0"," 1171.384365","       66272","7769.1495967","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911"
"           0","2790.8607643","       50216","35567.834605","HomeImp","Office","6.1847644882","           0","           0","209.87130224","           0","          19"," 20.20803267"
